age,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,occupation_status_Self-Employed,occupation_status_Student,product_type_Line of Credit,product_type_Personal Loan,loan_intent_Debt Consolidation,loan_intent_Education,loan_intent_Home Improvement,loan_intent_Medical,loan_intent_Personal
0.42307692307692313,0.43107769423558895,0.04501702127659575,0.6852589641434262,0.17666666666666664,0.0029833333333333344,0.0658974547414321,0.0,0.0,0.0,0.0010050251256281673,0.6482352941176469,0.5275689223057644,0.007526342197691882,0.0075301204819276935,1.0,False,False,False,False,False,False,False,False,False
0.2884615384615385,0.18295739348370926,0.11951914893617022,0.5557768924302788,0.11666666666666667,0.0005633333333333341,0.10098968668087503,0.0,0.1111111111111111,0.0,0.5306532663316583,0.476470588235294,0.47869674185463656,0.6166583040642251,0.6159638554216866,0.0,False,False,False,True,False,False,True,False,False
0.46153846153846156,0.02756892230576441,0.024851063829787245,0.6792828685258964,0.28,5.666666666666667e-05,0.047720535998628154,0.0,0.0,0.0,0.016080402010050232,0.7252941176470586,0.46992481203007513,0.04666332162568987,0.04668674698795178,1.0,False,True,False,False,True,False,False,False,False
0.6730769230769231,0.012531328320802004,0.060200000000000004,0.6852589641434262,0.32666666666666666,0.004933333333333335,0.07069278067661253,0.0,0.1111111111111111,0.0,0.024120603015075404,0.7494117647058822,0.49624060150375937,0.04565980933266428,0.04518072289156627,1.0,False,True,False,False,False,False,False,False,False
0.2692307692307693,0.3132832080200501,0.20705106382978725,0.5617529880478087,0.24,0.0006966666666666649,0.07572082996496901,0.0,0.0,0.0,0.9959798994974874,0.4658823529411764,0.2418546365914787,0.7812343201204217,0.7816265060240963,1.0,False,False,False,True,False,True,False,False,False
0.2692307692307693,0.3358395989974937,0.07240425531914894,0.4422310756972111,0.24333333333333332,0.0008433333333333331,0.006491756693858555,0.0,0.0,0.49999999999999994,0.3668341708542714,0.9952941176470589,0.04135338345864664,0.5760160561966885,0.575301204819277,0.0,False,False,False,False,False,False,False,False,True
0.6730769230769231,0.5739348370927317,0.12761276595744683,0.649402390438247,0.37,0.06555666666666667,0.11781925969476495,0.0,0.0,0.0,0.4532663316582915,0.2952941176470587,0.5350877192982455,0.5047666833918717,0.5045180722891566,1.0,False,False,False,True,False,False,True,False,False
0.5,0.10526315789473684,0.27916170212765956,0.5517928286852589,0.6166666666666667,0.0027666666666666673,0.23469537737929008,0.0,0.0,0.0,0.5145728643216081,0.7894117647058824,0.593984962406015,0.3176116407425992,0.3177710843373493,1.0,True,False,False,False,False,False,False,False,True
0.21153846153846154,0.14786967418546365,0.05708936170212768,0.44023904382470114,0.08666666666666664,0.0044466666666666665,0.1384581465422209,1.0,0.22222222222222218,0.0,0.3346733668341709,0.9835294117647058,0.9974937343358394,0.5925740090316108,0.591867469879518,0.0,False,False,False,False,False,True,False,False,False
0.44230769230769235,0.17543859649122806,0.2370936170212766,0.5776892430278884,0.7166666666666667,0.005260000000000001,0.13065578991205506,0.0,0.1111111111111111,0.0,0.6984924623115578,0.7852941176470588,0.3771929824561403,0.4927245358755646,0.4924698795180722,1.0,False,False,False,False,False,False,False,False,True
0.21153846153846154,0.12531328320802004,0.0,0.6155378486055776,0.2966666666666667,0.007016666666666667,0.023309081110212876,0.0,0.0,0.0,0.04522613065326636,0.19058823529411756,0.3208020050125313,0.16307074761665835,0.1626506024096385,1.0,False,False,True,False,False,True,False,False,False
0.21153846153846154,0.03258145363408521,0.008634042553191501,0.6374501992031871,0.1433333333333333,0.0007166666666666675,0.0338796207834203,0.0,0.0,0.0,0.05829145728643215,0.21705882352941164,0.40852130325814534,0.18163572503763176,0.180722891566265,1.0,False,True,True,False,False,False,False,False,True
0.3653846153846154,0.03258145363408521,0.14503829787234043,0.4621513944223107,0.3766666666666667,0.004296666666666667,0.12889199186693123,0.0,0.0,0.24999999999999994,0.40502512562814075,0.4188235294117646,0.5363408521303258,0.4129453085800302,0.4126506024096385,0.0,False,False,True,False,False,False,False,True,False
